$0;-1;1.9-SNAPSHOT;KIEKER;avh-ThinkPad-RSS;1;false;0;NANOSECONDS;1
$1;1283156545600783910;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976180;1283156498786446226;1283156498788483650;SRV0;1;1
$1;1283156545600900984;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976179;1283156498786412283;1283156498788496440;SRV1;1;1
$1;1283156545601017851;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976182;1283156498786521470;1283156498788550528;SRV1;1;1
$1;1283156545601140128;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976181;1283156498786486685;1283156498788563582;SRV0;1;1
$1;1283156545601256697;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976184;1283156498786593439;1283156498788617192;SRV1;1;1
$1;1283156545601373095;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976183;1283156498786558654;1283156498788630027;SRV1;1;1
$1;1283156545602390437;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976185;1283156498786627820;1283156498788685745;SRV1;1;1
$1;1283156545602552704;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976186;1283156498786662262;1283156498788698586;SRV0;1;1
$1;1283156545602706750;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976187;1283156498786695597;1283156498788753910;SRV1;1;1
$1;1283156545602860780;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976188;1283156498786729756;1283156498788766871;SRV0;1;1
$1;1283156545603026042;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976189;1283156498786763455;1283156498788820932;SRV0;1;1
$1;1283156545603222627;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976190;1283156498786797912;1283156498788833583;SRV0;1;1
$1;1283156545603376925;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976191;1283156498786831689;1283156498788907284;SRV1;1;1
$1;1283156545603535015;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976192;1283156498786866805;1283156498788920345;SRV1;1;1
$1;1283156545603690645;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976194;1283156498786935932;1283156498788974192;SRV0;1;1
$1;1283156545603856024;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976193;1283156498786901707;1283156498788987099;SRV1;1;1
$1;1283156545604011994;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976195;1283156498786970458;1283156498789041025;SRV1;1;1
$1;1283156545604165696;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976145;1283156498785418144;1283156498789534807;SRV1;1;1
